tc,f,df,TS,UL95
54684.14644728357,2.9347900493363126e-07,1.084342666252901e-07,33.97283476023313,4.3689182592681836e-07
54687.150034722225,3.325288788384669e-07,1.1264557249234162e-07,19.527960271921984,5.016727639718423e-07
54690.150034722225,2.624257658238577e-07,1.1189504480979895e-07,49.675440475477444,3.726024406960003e-07
54693.150034722225,2.2113386075961414e-07,8.837758182612837e-08,17.46125436141665,3.516163903089812e-07
54696.150034722225,2.908208710916907e-07,8.977570717833486e-08,41.20434729925364,4.071417669176307e-07
54699.14821809206,3.140035781644468e-07,9.647004282232272e-08,29.184808792075273,4.549836510281594e-07
54702.150034722225,1.0568301054292433e-07,5.7875333461351553e-08,19.91569330240054,1.756825262821202e-07
54705.150034722225,1.1955841889697263e-07,6.352957635417714e-08,6.220511436282322,2.226399390603354e-07
54708.150034722225,1.6688341157528726e-07,7.450452324112394e-08,9.773139199129218,2.824521620488621e-07
54711.150034722225,2.8400335594352355e-07,7.3470640453287e-08,62.4907191568127,3.873317763223935e-07
54714.150034722225,8.507779073433597e-07,1.0621061935739601e-07,293.83992337699055,9.939545657227996e-07
54717.150034722225,8.912320297949891e-07,1.0665489486771427e-07,260.6792914868911,1.0485230406979079e-06
54720.150034722225,1.4443901601715527e-06,1.20669380706808e-07,673.4713772565865,1.6177868326306172e-06
54723.150034722225,8.69462573006276e-07,1.043740545741104e-07,355.3952261407976,1.0128099336515526e-06
54726.150034722225,1.124610181471993e-06,1.262087880850963e-07,331.6331872396913,1.3027729081285443e-06
54729.150034722225,1.5312765872735293e-06,1.3668474545933068e-07,543.8719757589279,1.7306662526657446e-06
54732.150034722225,1.1764210578112995e-06,1.339727349517132e-07,351.20183602871657,1.3641842719945448e-06
54735.144201876865,1.141746931741525e-06,1.4361417070878927e-07,250.09434985294683,1.3490947081306834e-06
54738.150034722225,1.1954046453902224e-06,1.579206174782166e-07,240.1616797281331,1.4198276820049185e-06
54741.150034722225,1.1893823782462613e-06,1.544963149313766e-07,203.6970869332108,1.4247213378561378e-06
54744.150034722225,2.116370894987398e-06,1.743547167664028e-07,733.425183189438,2.3727579783442234e-06
54747.150034722225,7.559158671385084e-07,1.1363120047174607e-07,214.28811905523798,9.135824590442803e-07
54750.14725743329,8.526983917844148e-07,1.1645237849564461e-07,238.5492627532949,1.0210816993910714e-06
54753.150034722225,1.1903560349312194e-06,1.3056954530845417e-07,386.2147423360311,1.3720944117516402e-06
54756.150034722225,1.0191442616662914e-06,1.1490925322123633e-07,315.36311903788373,1.1857962334475431e-06
54759.150034722225,9.797168882036326e-07,1.102155166732055e-07,304.96822389214867,1.1412096928252443e-06
54762.150034722225,7.735661719147127e-07,1.0692673817661761e-07,163.3813043314185,9.329336333705163e-07
54765.150034722225,3.969105859471509e-07,9.631886590440817e-08,95.68755553945448,5.081569309588875e-07
54768.150034722225,5.318320268267033e-07,8.500519960915688e-08,176.19162121179943,6.472510835561051e-07
54771.144861751396,9.858199690414412e-07,1.0806499109611282e-07,312.17524549938025,1.1450388800952095e-06
54774.150034722225,8.262550413911635e-07,1.0763561650475867e-07,224.68043809742267,9.78799922708278e-07
54777.150034722225,7.974096385118704e-07,1.0253605018773995e-07,231.06201488072475,9.439229237973549e-07
54780.150034722225,7.250022771013689e-07,1.0080039949817608e-07,238.98481904200708,8.627055710789532e-07
54783.149097711605,6.294118739612348e-07,1.0355111183670532e-07,131.43850518035106,7.754375301292383e-07
54786.142934516014,6.647478214242545e-07,1.1035276342766918e-07,136.9457721838644,8.200081928800724e-07
54789.150034722225,1.5894629200182313e-07,4.111355831307406e-08,63.741985092865434,2.225178016543256e-07
54792.150034722225,6.539972686039631e-07,1.2725103247768012e-07,77.29782199624606,8.490352322931823e-07
54795.150034722225,5.367899423338808e-07,1.1816111088407295e-07,64.00476288357095,7.105246891032738e-07
54798.150034722225,4.860437198712951e-07,1.0646513352521419e-07,82.30113297148273,6.331414484826321e-07
54801.150034722225,3.6146984474442193e-07,9.47747060468148e-08,43.72844535824697,4.991402935015186e-07
54804.150034722225,4.6655412059745736e-07,9.44209491629438e-08,114.81329798355,5.935095410135e-07
54807.150034722225,3.283685878594714e-07,9.390171720141765e-08,50.65689724220647,4.4791100825146174e-07
54810.05837432967,1.2403058694033236e-06,1.284507615542477e-07,359.51603993473145,1.4264879352843595e-06
54813.150034722225,6.314665729017096e-07,9.677634742508954e-08,177.62867114275832,7.645559314633211e-07
54816.150034722225,4.478201100048313e-07,8.675306330568473e-08,81.46806092586485,5.712962414203749e-07
54819.149277108416,5.236822677792309e-07,8.58186677239134e-08,124.33030682204662,6.492534770097157e-07
54822.14182340546,3.507893318439943e-07,8.543393954709202e-08,55.702816643452024,4.6810751214325217e-07
54825.150034722225,2.5226602903486215e-07,8.502396602331071e-08,38.14549294230528,3.552750552612193e-07
54828.150034722225,1.3441313707659483e-07,6.287087574734858e-08,18.889368103527886,2.1508680682125025e-07
54831.150034722225,5.212716071236936e-07,9.816236042824097e-08,60.527575493852055,6.763542915212792e-07
54834.14876202539,2.7798920471751535e-07,8.357838111640444e-08,16.620990636109127,4.272858955360563e-07
54837.14248891447,2.1444050568139778e-07,8.547604055796038e-08,31.92305609000323,3.085230692589945e-07
54840.150034722225,1.6419093609647276e-07,5.990402795541559e-08,27.246544481527962,2.4621200223070667e-07
54843.150034722225,2.0199254961963828e-07,1.2734105963340436e-07,6.527331892182701,3.690296986348313e-07
54846.150034722225,1.5613373983242853e-07,7.085826744509702e-08,24.058755247837325,2.4810357542391e-07
54849.150034722225,1.4135062579292726e-07,7.863878106697345e-08,8.55930683639599,2.5909242061034416e-07
54852.150034722225,4.1554298403212346e-07,1.0890497365687055e-07,81.84131804860226,5.622710622040925e-07
54855.150034722225,2.356880565878945e-07,8.905347231063302e-08,13.43876407537573,3.804381000757851e-07
54858.12853243355,1.5309922109330404e-07,6.869816873216902e-08,15.175588612746651,2.4856291335981454e-07
54861.150034722225,1.440664439458169e-07,5.801304918587638e-08,14.540038819803158,2.3468518494623373e-07
54864.150034722225,2.728276812198298e-07,7.953510099187783e-08,39.82097947659895,3.8341914352733846e-07
54867.150034722225,1.599850042497731e-07,6.155182887594773e-08,27.432569437989514,2.397937625792427e-07
54870.14627942786,2.939045528228009e-07,8.160868553919e-08,30.53547807634459,4.144859333853978e-07
54873.150034722225,3.468603882635684e-07,8.134556684834515e-08,49.27073810598267,4.66485916105285e-07
54876.150034722225,2.227888274143216e-07,7.579080607630851e-08,34.063927163744665,3.2387030888460257e-07
54879.150034722225,2.983919485479897e-07,7.784724395567637e-08,45.56671400983396,4.0951947468024186e-07
54882.150034722225,9.508381923876437e-08,6.141333661716186e-08,5.122141372448823,1.8693532675863155e-07
54885.14766845951,2.595108425228586e-07,7.880815295975396e-08,30.23569104913622,3.6945606929787926e-07
54888.150034722225,2.291141691341065e-07,8.410966088557481e-08,12.427839991081783,3.6662610379024314e-07
54891.150034722225,4.255304953846949e-07,1.0355761012211595e-07,49.450553033526376,5.748387035594681e-07
54894.150034722225,4.930952765842367e-07,1.1018871525935373e-07,38.8699716975043,6.744560492365828e-07
54897.150034722225,5.316466186915867e-07,1.0921097651745517e-07,79.50947193327193,6.906976415645768e-07
54899.899098267226,4.881698233109817e-07,1.1854053384619358e-07,59.503335620661346,6.661259994906994e-07
54906.150034722225,3.361383225804874e-07,1.4497917349161396e-07,22.064528968331615,5.250130438167767e-07
54909.150034722225,5.359830416510099e-07,1.0250414303069389e-07,103.2932633131586,6.828432926129763e-07
54912.150034722225,5.546047782546375e-07,1.0029280245486078e-07,84.93620391802506,7.028000382540512e-07
54915.150034722225,4.101632699362165e-07,1.023753749049107e-07,44.66010426162393,5.622094038379817e-07
54918.150034722225,2.465526956114278e-07,8.029573606300206e-08,34.46334311699502,3.491940944082444e-07
54921.1432123133,1.5751472376810466e-07,5.877383662167941e-08,37.549096904063845,2.2815012446625044e-07
54924.150034722225,1.3181468439157995e-07,5.765688225031781e-08,14.231435340720054,2.1479352786969946e-07
54927.150034722225,1.7401668703684428e-07,6.767723117901883e-08,11.65627031627082,2.851163420520213e-07
54930.150034722225,2.2865108261127547e-07,7.49821678401864e-08,15.760312121827155,3.5216122192380244e-07
54933.150034722225,4.548027690732315e-07,9.519516664871039e-08,65.71072589670621,5.915597264935734e-07
54936.14588012322,4.3385208984251915e-07,8.37247638950634e-08,90.43058403455143,5.525135348548863e-07
54939.150034722225,7.347888847183224e-07,1.0344871408653311e-07,196.65107848587468,8.797349264882999e-07
54942.150034722225,1.0754209576755727e-06,1.22267037623388e-07,278.25910236653,1.2526349717713213e-06
54945.150034722225,1.1170612524011172e-06,1.2348641577323244e-07,322.71524716257227,1.2962211500898054e-06
54948.150034722225,1.3797645186859338e-06,1.3827554042901243e-07,433.8743686688558,1.5814201410339206e-06
54951.150034722225,9.90650019138282e-07,1.3617715945625314e-07,207.21756228640515,1.1873179221936305e-06
54954.150034722225,6.632025123245234e-07,1.3133286670147856e-07,70.60489864091414,8.648373037555485e-07
54957.150034722225,5.949294284089544e-07,1.3464354073097916e-07,60.62128105881493,7.898362565896283e-07
54960.150034722225,8.71184373733868e-07,1.4419710932364197e-07,136.91563507433966,1.0800047419503028e-06
54963.150034722225,8.742922654262532e-07,1.286166703136663e-07,151.88021095054864,1.066025677960088e-06
54966.150034722225,6.585758948603918e-07,1.1467150367520079e-07,116.81073716712126,8.252723195393781e-07
54969.147298039316,3.33294426670637e-07,9.048927620273276e-08,45.49189959073556,4.568446858968946e-07
54972.140718161194,4.698009212270655e-07,9.427194823110171e-08,54.17441924320519,6.19485002008672e-07
54975.150034722225,5.89507784414896e-07,9.179762204087252e-08,121.27837197529152,7.271026617354017e-07
54978.150034722225,4.505780347657833e-07,8.704435007539056e-08,85.98395265808722,5.75543879310005e-07
54981.150034722225,6.253085798853281e-07,9.008913049677103e-08,160.13823771313764,7.594027728666626e-07
54984.150034722225,7.013162943345952e-07,9.555081384998287e-08,155.55650303867333,8.485441489369694e-07
54987.150034722225,4.0344282650957645e-07,8.658542744256542e-08,54.42984474829791,5.323065067270761e-07
54990.150034722225,3.5168555771470716e-07,8.597782733464779e-08,27.954258825064244,4.979963425243394e-07
54993.150034722225,2.3329216373378483e-07,8.02340128432002e-08,23.20625248466058,3.4671682272270363e-07
54996.150034722225,2.902977137530585e-07,8.722272388556213e-08,29.325095550269907,4.1519167649117735e-07
54999.150034722225,3.214041336685851e-07,9.437465846875331e-08,36.90650712167735,4.5064013585876534e-07
55002.150034722225,1.261505266238927e-07,9.303224199831834e-08,6.409788933893651,2.404387234120101e-07
55005.14696810246,2.1907981943010862e-07,7.96755808721818e-08,36.10116129404014,3.1805598878732357e-07
55008.150034722225,1.5104959918750773e-07,7.583680770712331e-08,19.984304532748865,2.448923388416458e-07
55011.150034722225,1.4134415966722103e-07,5.965995381150477e-08,12.984515296009704,2.375866859262277e-07
55014.150034722225,1.8908052778959038e-07,7.81839811671642e-08,18.192577124804302,2.992061617702246e-07
55017.150034722225,4.673701943806405e-07,1.0615075003004627e-07,55.3464412674457,6.222736396731415e-07
55020.145856990246,4.808918118635528e-07,9.606345769330173e-08,87.93094593237583,6.184502277829414e-07
55023.150034722225,3.5523422141744997e-07,8.630972957122422e-08,48.00438466171909,4.801468884416833e-07
55026.150034722225,3.539251123670625e-07,8.118226438971651e-08,79.76771209976323,4.6050482609560075e-07
55029.150034722225,1.6653274150280187e-07,7.836168400586077e-08,10.960691755923108,2.784635352602537e-07
55032.150034722225,1.234969854184026e-07,6.576820343933949e-08,9.48056630771498,2.1935625668910937e-07
55035.150034722225,3.0052317238597445e-07,7.954507137243926e-08,44.85519821597154,4.1189440974167065e-07
55038.150034722225,3.791623622060227e-07,9.570663262803722e-08,41.01200752053228,5.194909083047588e-07
55041.150034722225,3.36856510352183e-07,8.747080650946223e-08,39.334250996880655,4.647620438674445e-07
55044.150034722225,4.482233185559022e-07,9.531295925108707e-08,74.02729707043909,5.800772479661934e-07
55047.150034722225,7.50540823514409e-07,1.0810214403983457e-07,168.1399855595464,9.087470265130755e-07
55050.150034722225,1.2205575335838937e-06,1.3647115643232695e-07,275.9235201992924,1.4238881925829014e-06
55053.150034722225,1.470722577321591e-06,1.470127021779629e-07,401.21129852034755,1.6862136504990782e-06
55056.14318336388,9.111348200121212e-07,1.4201138700041908e-07,163.79114303945607,1.1075533373588788e-06
55059.150034722225,8.425821140655804e-07,1.3280202701694822e-07,156.44590751766918,1.0329650179736262e-06
55062.150034722225,3.1408941561484004e-06,2.237248554740103e-07,1027.5687453594583,3.4674972775333885e-06
55065.150034722225,4.015584850050484e-06,2.392278625651468e-07,1417.5738368475286,4.371437073064458e-06
55068.150034722225,2.1285699070946547e-06,1.7906837373649213e-07,665.280538226607,2.3900909946210597e-06
55071.14410931544,1.541215237631204e-06,1.632372280728697e-07,482.660471525669,1.7631545240497622e-06
55074.150034722225,1.2586589232355921e-06,1.4520222594918022e-07,283.77028293549483,1.467918811171077e-06
55077.150034722225,1.0824686020964172e-06,1.4866114398495559e-07,176.4389614075517,1.3007337486498887e-06
55080.150034722225,1.2545450680404482e-06,1.54244375042992e-07,267.8324699902623,1.4753300684912674e-06
55083.150034722225,1.64225486218053e-06,1.6956614889633424e-07,369.2215162892262,1.89339438397103e-06
55086.150034722225,1.373812989981723e-06,1.4688391627251122e-07,347.9298247116021,1.5871934936169701e-06
55089.150034722225,3.435687876415555e-06,1.8871668219283154e-07,2052.814076579296,3.7080703675495976e-06
55092.150034722225,4.461300262541545e-06,2.1296175014912205e-07,2555.8773541170885,4.775126814793214e-06
55095.150034722225,5.755810366569127e-06,2.5540008205502893e-07,3179.7369450586884,6.129310077750554e-06
55098.150034722225,3.536042400273828e-06,2.3363826987729313e-07,1271.4572542828973,3.870840713500882e-06
55101.150034722225,3.7326109307138464e-06,2.5490430496060136e-07,1108.4968727385476,4.093396863596002e-06
55104.146863918286,3.019487089909336e-06,2.5240252667509867e-07,761.3140320887578,3.3679729138391073e-06
55107.150034722225,2.6542507853024994e-06,2.3076358538871733e-07,660.4577227211557,2.977526885886497e-06
55110.150034722225,2.5698157038052016e-06,2.275102274748915e-07,570.5656797158517,2.902035555980302e-06
55113.150034722225,1.6059256634599573e-06,1.889459586910641e-07,304.6457083706355,1.8886270166027247e-06
55116.150034722225,1.4663048687832909e-06,1.7609296608752981e-07,288.7326014977825,1.726511914678757e-06
55119.14834543913,1.4990039004270996e-06,1.725129300650327e-07,367.92112039438507,1.745146066026535e-06
55122.150034722225,1.4826816267646474e-06,1.894066881806579e-07,215.77379195676076,1.761018926807307e-06
55125.150034722225,1.1277292873169456e-06,1.7681062485658856e-07,129.6595439182638,1.3917541933567274e-06
55128.150034722225,1.734899178180494e-06,1.990076076875795e-07,290.9145266255473,2.0223349625941145e-06
55131.150034722225,1.0210352899354747e-06,1.6870876774752098e-07,121.1902892364269,1.261140340108314e-06
55134.150034722225,8.846394247208258e-07,1.394628696433789e-07,159.10846826084526,1.0836697545513366e-06
55137.150034722225,1.0545750367927486e-06,1.5464949950880158e-07,145.13473118319962,1.2815323623246692e-06
55140.150034722225,1.2459214481917082e-06,1.368614300094697e-07,364.20499335067507,1.4422893528323734e-06
55143.150034722225,3.6592389296110743e-06,2.0246730551802055e-07,1656.4557331156357,3.9612853682218785e-06
55146.150034722225,2.267074367132462e-06,1.5875165675573101e-07,1181.3299488660668,2.493914263508395e-06
55149.150034722225,1.2753444578718155e-06,1.4761446938074398e-07,303.0913693599596,1.4893959454519707e-06
55152.150034722225,1.1229662493752942e-06,1.55204266718258e-07,173.83747131759446,1.3558977386525496e-06
55155.14280144556,6.335590568603265e-07,1.122826311347971e-07,164.1555115128649,7.842193492577801e-07
55158.150034722225,1.4556763985407296e-06,1.8400230139165587e-07,243.1941239984626,1.7195882655592553e-06
55161.150034722225,1.095898347742225e-06,1.7439970090279953e-07,142.83546055651095,1.3449735361366054e-06
55164.150034722225,1.2440165941334277e-06,1.7941581760563954e-07,153.44197759548115,1.5152689521624632e-06
55167.150034722225,1.3402679831018446e-06,1.6288807510263506e-07,322.2226498927739,1.5754304761239442e-06
55170.14552132931,9.779870983237218e-07,1.5374222595479086e-07,143.2497840241249,1.2048029446124687e-06
55173.150034722225,1.2204248132338572e-06,1.626434329537057e-07,187.19312369747604,1.4715886753264212e-06
55176.150034722225,1.0920516877771896e-06,1.7665738418535438e-07,143.58969478565814,1.3437772084183706e-06
55179.150034722225,1.2856715154740745e-06,1.772158485274688e-07,170.54019678139048,1.5538922705581079e-06
55182.150034722225,1.0694328286766613e-06,1.6424033430412738e-07,149.04685644725032,1.3047417343641578e-06
55185.150034722225,8.913155101302326e-07,1.5427466888758527e-07,123.649716686401,1.1049247469762984e-06
55188.150034722225,4.741260633120921e-07,1.2404831434295665e-07,45.43135546472149,6.482296201508339e-07
55191.150034722225,2.4564532459639983e-07,7.584975797521407e-08,36.36634568211775,3.5693626252454036e-07
55194.150034722225,5.98362900522144e-07,1.125467968895864e-07,77.68904187358021,7.71702281619061e-07
55200.150034722225,2.7737158303577436e-07,9.138288298572807e-08,19.873440926894546,4.16415269386098e-07
55203.14604216203,2.5070469478221645e-06,1.8837076379062413e-07,1001.7097897569529,2.769272934898162e-06
55206.150034722225,3.8689675582540103e-07,1.1364288364187652e-07,47.610151243592554,5.304012940560299e-07
55209.150034722225,2.9214115713166157e-07,1.0372196360719185e-07,46.10866897160122,4.1708384252226256e-07
55212.150034722225,4.0627388485863174e-07,1.4665638871843473e-07,52.16660340274757,5.71287450072312e-07
55215.150034722225,7.2730981476122e-07,1.5500473745645428e-07,68.472934621077,9.508237180705616e-07
55218.14912086792,9.104763527196875e-07,1.560767837783356e-07,105.25437153877465,1.1497123336683485e-06
55221.150034722225,5.207030827672095e-07,1.2835771922056082e-07,57.620509424918055,7.135136349556144e-07
55224.150034722225,5.29285637265707e-07,1.2773319237811154e-07,32.3676566508293,7.488999766877336e-07
55227.150034722225,8.165539758554348e-07,1.5785816640703157e-07,68.46279583692194,1.068339752558174e-06
55230.150034722225,9.936975319328035e-07,1.6006400735086232e-07,148.60506284724943,1.221920013917178e-06
55233.150034722225,5.778740409217115e-07,1.530910345810417e-07,56.2972370405314,7.732900732928378e-07
55236.150034722225,9.59041203146621e-07,1.626701717046596e-07,131.84131782930308,1.1834250898539664e-06
55239.144780591974,8.111611101799542e-07,1.4407678596167673e-07,127.2113018569271,1.0065382272210742e-06
55242.150034722225,1.5204157225524836e-07,6.14657818496882e-08,51.71581851434166,2.2196090509758763e-07
55245.150034722225,5.031010847144274e-07,1.0385706282466348e-07,80.14636700932533,6.550846667163055e-07
55248.150034722225,3.023747129557865e-07,9.218672398913897e-08,49.565594106046774,4.147424317762803e-07
55251.14991369036,7.084705293223424e-07,1.1152802976601519e-07,116.37289338668961,8.775174084185301e-07
55254.143854696784,9.023377746896836e-07,1.277216777512266e-07,198.9217011894416,1.0830811459596485e-06
55257.150034722225,1.4085308112999985e-06,1.5246322727054448e-07,417.1292202506247,1.6236510467377889e-06
55260.150034722225,1.5031484738587197e-06,1.7141489649652846e-07,357.94534333251795,1.7409442662433464e-06
55263.150034722225,2.7679756763265874e-06,2.1246351099550336e-07,1014.7358691821828,3.0620869682153217e-06
55266.150034722225,1.6830118985645777e-06,1.8275802513461128e-07,400.008291233602,1.939519144670079e-06
55269.150034722225,3.2568434327288184e-06,2.269746219104308e-07,1164.2277939351043,3.586187514480679e-06
55272.150034722225,2.7914074201946985e-06,2.1736941246898717e-07,971.4736641926593,3.104563736389043e-06
