tc,f,df,TS,UL95
54683.16,4.015e-07,1.364e-07,70.98275699999999,False
54684.16,1.748e-07,9.436999999999999e-08,31.456102,False
54685.16,2.185e-07,1.205e-07,18.226383,1.055553e-07
54686.16,1.8399999999999998e-07,1.0810000000000001e-07,7.678121000000001,1.189779e-07
54687.16,2.143e-07,9.959e-08,21.768245,1.139802e-07
54688.16,1.461e-07,9.896000000000001e-08,5.809811,1.056299e-07
54689.16,9.218e-08,8.078e-08,3.1095740000000003,1.474055e-07
54690.16,8.722e-08,6.376000000000001e-08,29.746540000000003,False
54691.16,2.804e-07,1.2140000000000002e-07,31.653725,False
54692.16,1.83e-07,8.327e-08,42.431915999999994,False
54693.16,2.816e-07,1.321e-07,14.363979999999998,1.730050e-07
54694.16,1.073e-07,6.779e-08,28.166928000000002,False
54695.16,2.796e-07,1.1509999999999999e-07,39.298558,False
54696.16,1.5589999999999999e-07,1.233e-07,18.758273000000003,1.996038e-07
54697.16,3.091e-07,1.31e-07,25.164963,False
54698.16,1.7960000000000002e-07,7.674e-08,76.47891,False
54699.16,2.7709999999999998e-08,3.296e-08,4.410773000000001,1.115832e-08
54700.16,4.993e-07,1.317e-07,53.550978,False
54701.16,3.6890000000000003e-07,1.0929999999999999e-07,70.73291800000001,False
54702.16,3.154e-07,1.168e-07,68.659031,False
54703.16,1.444e-07,7.791e-08,33.944933,False
54704.16,3.034e-07,1.025e-07,85.582263,False
54705.16,2.349e-07,8.630000000000001e-08,53.328291,False
54706.16,1.525e-07,5.502e-08,80.046578,False
54707.16,2.9129999999999997e-07,8.46e-08,112.768927,False
54708.16,1.8870000000000002e-07,6.154e-08,89.503654,False
54709.16,2.322e-07,8.069e-08,64.84102800000001,False
54710.16,1.7920000000000002e-07,6.76e-08,47.175167,False
54711.16,1.552e-07,7.713e-08,20.418579,7.478436e-08
54712.16,1.685e-07,7.813e-08,41.004687,False
54713.16,6.836e-08,4.354e-08,29.702096,False
54714.16,1.188e-07,5.979e-08,37.988265000000006,False
54715.16,2.596e-07,8.011e-08,83.40048,False
54716.16,1.9359999999999999e-07,6.907e-08,57.071762,False
54717.16,1.728e-07,7.169e-08,25.33632,False
54718.16,1.824e-07,5.5979999999999996e-08,104.884376,False
54719.16,6.674e-08,5.728e-08,12.060131,9.794709e-08
