# mjd,flux,flux err
54473.3010069,0.4698964,0.0225204
54475.2950926,0.4585622,0.0237938
54475.2959954,0.4677795,0.0140932
54479.2836343,0.4603840,0.0198097
54479.2845486,0.4629969,0.0128131
54485.2677546,0.4804646,0.0117986
54485.2686574,0.4692919,0.0189580
54487.2624074,0.4730676,0.0117208
54487.2633102,0.4574691,0.0302185
54495.2400810,0.4755889,0.0506271
54495.2409838,0.4592271,0.0521553
54497.2350231,0.4912713,0.0106991
54497.2359259,0.4815900,0.0266893
54503.2181597,0.4972599,0.0164137
54503.2190625,0.4971390,0.0115392
54505.2133796,0.4871892,0.0114015
54505.2142940,0.4941445,0.0168802
54507.2077894,0.4845080,0.0235378
54507.2086921,0.4888673,0.0521290
54545.1037269,0.4676539,0.0324725
54545.1046296,0.4731721,0.0100562
54547.0989352,0.4835858,0.0455693
54549.0927662,0.4933756,0.0112611
54549.0936806,0.4940380,0.0291419
54553.0820370,0.4756777,0.0115005
54553.0829398,0.4790144,0.0183849
54557.0707523,0.4603788,0.0101335
54557.0716551,0.4696017,0.0103682
54584.9952083,0.3754169,0.0694519
54584.9962037,0.4588299,0.0507180
54600.9507755,0.4839865,0.0721301
54600.9517014,0.4924534,0.0420641
54602.9453125,0.4732480,0.0106407
54602.9462269,0.4620837,0.0212814
54604.9396296,0.4857207,0.0145427
54604.9405787,0.4705345,0.0511043
54617.9043750,0.4920103,0.0209282
54617.9053009,0.4973801,0.0222536
54619.8986806,0.4681354,0.0191974
54619.8996065,0.4855816,0.0286704
54622.8908333,0.4681381,0.0212220
54622.8917593,0.4551756,0.0145880
54626.8798032,0.4432555,0.0422215
54626.8807176,0.4583554,0.0141883
54628.8746296,0.4691158,0.0144941
54628.8755324,0.4561952,0.0101489
54632.8639352,0.4640064,0.0360397
54632.8648611,0.4508184,0.0252411
54665.7736343,0.4591070,0.0398241
54665.7745602,0.4572980,0.0106891
54692.7068634,0.4347146,0.0098892
54692.7077894,0.4426624,0.0136197
54693.7113194,0.4390387,0.0447302
54694.7015278,0.4318782,0.0318721
54694.7024653,0.4462947,0.0333154
54695.7048611,0.4600443,0.0147312
54696.6961921,0.4360145,0.0313366
54696.6971181,0.4415537,0.0567914
54697.6995833,0.4287642,0.0117618
54698.6899421,0.4303956,0.0267980
54698.6908681,0.4296361,0.0096285
54699.6932639,0.4456048,0.0433142
54700.6845023,0.4252398,0.0134488
54701.6875694,0.4368388,0.0482795
54702.6787616,0.4403518,0.0272447
54702.6796875,0.4268997,0.0334760
54703.6823727,0.4332965,0.0561113
54704.6732407,0.4265045,0.0236684
54704.6741667,0.4261486,0.0090595
54705.6772222,0.4218472,0.0092003
54707.6715162,0.4382313,0.0101016
54708.6624074,0.4288738,0.0158080
54708.6633333,0.4370628,0.0201378
54712.6519444,0.4214476,0.0098629
54763.5141551,0.4652571,0.0119639
54763.5150810,0.4535226,0.0121977
54767.5031944,0.4488721,0.0107454
