tc,f,df,TS,UL95
54686.150034722225,1.915546509977057e-09,2.74086011940358e-09,6.647199812005056,3.1120829372888566e-07
54693.150034722225,8.841621590599962e-09,3.087552256654959e-09,56.01179557175783,1.3859268141856716e-07
54700.150034722225,7.0822354148027245e-09,2.5964667479026732e-09,49.599641864839214,1.122158864849527e-07
54707.150034722225,9.472071767627752e-09,2.926626439241256e-09,81.59659949192792,7.177270849059998e-08
54714.150034722225,1.0272001915363943e-08,3.1211776781560343e-09,86.73133563539523,1.278789924193094e-07
54721.150034722225,1.408079141919207e-08,4.170632914220467e-09,95.5406852892047,4.368729486577076e-08
54728.150034722225,1.0176055571239612e-08,4.2035296123654516e-09,32.76253167559844,2.2232602261622163e-08
54735.13930604436,5.277647185129594e-09,2.8537224031063447e-09,26.87490527648697,3.660297414157565e-08
54742.150034722225,1.1830516617265599e-08,3.874097153171304e-09,64.52018651774415,2.6496035748751353e-08
54749.14504679416,6.769187296421935e-09,2.6822530293722472e-09,52.19230492772476,1.1938140075536505e-07
54756.150034722225,7.563912871869493e-09,2.8070943017812654e-09,40.8189910353758,9.082869829180437e-08
54763.150034722225,8.237718473903014e-09,2.657094700529508e-09,60.72656312277468,1.4723506431529716e-07
54770.150034722225,7.676376270774426e-09,3.2423339279116405e-09,37.73481644041021,1.9089474424712863e-08
54777.150034722225,4.785591995518822e-09,2.621379855836423e-09,25.938568048433808,1.8055911272275397e-08
54784.142934516014,1.560973521046587e-11,6.564650451026266e-12,8.174436090064773,2.414894481674506e-07
54791.150034722225,4.402167515257111e-09,2.5924026599184227e-09,18.590914260486898,1.3681060615482576e-07
54798.148258589645,4.581333699440241e-09,2.3965220620378397e-09,23.13674939586417,1.2385042150332954e-07
54805.150034722225,7.2261588439458335e-09,2.653214751281692e-09,43.03055950621274,8.934793533145094e-08
54812.150034722225,5.641972849239984e-09,2.3701707404650412e-09,34.40233711132896,1.1093939680467773e-07
54819.14431184983,1.39707157561668e-08,3.764385664362541e-09,104.650225053756,4.352137750553021e-08
54826.150034722225,6.596195475302774e-09,2.5026648983091804e-09,52.788239615598286,1.3358508511355758e-07
54833.14670766315,9.809589502777925e-09,3.7704515194369445e-09,49.769752722248086,1.2974190849172857e-07
54840.150034722225,4.935570509254335e-09,2.6200896732961325e-09,23.776072411066707,1.6677036894704736e-07
54847.150034722225,7.382733292535945e-09,3.320223776258689e-09,22.197280633863556,4.4763130332763064e-08
54854.150034722225,6.247879649550122e-09,2.787731614033203e-09,24.440547704809433,9.101105217089297e-08
54861.150034722225,1.4792320141661357e-08,3.959988562604691e-09,90.84369443949981,4.3207541306254207e-08
54868.14627942786,1.3274120774249258e-08,3.844120001802218e-09,64.77420111672836,4.5309146497821386e-08
54875.150034722225,3.715208583543053e-09,2.334245766189649e-09,18.83606825381139,1.2079314880754988e-07
54882.14984424881,1.176676140401726e-08,3.6706393268031403e-09,62.222938960723695,1.0737395679432654e-07
54889.150034722225,7.068769598545787e-09,3.025386425350557e-09,46.27299490779842,2.330261768193372e-07
54896.150034722225,5.9333428534173265e-09,3.2842807413719814e-09,22.046309697063407,8.95898043075368e-08
